initial_maturity,time_in_minute,temperature,humidity,current_maturity
85,35080,27.0627233,52.45763942,100
85,35100,27.01489922,52.04404005,100
85,35120,26.97358426,51.67430789,100
85,35140,26.86358916,52.28262921,100
85,35160,26.78639241,53.53903345,100
85,35180,26.79743737,54.2289577,100
85,35200,26.79546428,54.07813023,100
85,35220,26.77440908,54.44020115,100
85,35240,26.74161987,56.04155964,100
85,35260,26.79041777,56.50665732,100
85,35280,26.84668669,56.14998045,100
85,35300,26.86731455,56.74894215,100
85,35320,26.85443836,56.7911443,100
85,35340,26.87882397,56.77795579,100
85,35360,26.87639152,56.82826235,100
85,35380,26.86647735,56.36389037,100
85,35400,26.87363616,56.42137212,100
85,35420,26.87091856,56.72352135,100
85,35440,26.87712079,56.66922352,100
85,35460,26.89667331,56.43470672,100
85,35480,26.91106545,55.36207818,100
85,35500,26.94301631,54.62343112,100
85,35520,26.95826993,54.27432972,100
85,35540,26.99319582,53.87229472,100
85,35560,27.00048267,53.92379922,100
85,35580,27.03046775,53.77513938,100
85,35600,27.01565513,53.6821581,100
85,35620,27.00029475,53.8513635,100
85,35640,27.01382941,53.73125641,100
85,35660,27.0438904,54.0252171,100
85,35680,27.08146852,53.13641684,100
85,35700,27.06722749,52.37443669,100
85,35720,27.00965094,52.52199478,100
85,35740,27.02376018,53.1821069,100
85,35760,27.11932628,53.4370461,100
85,35780,27.16582088,53.86742508,100
85,35800,27.19524944,53.57596389,100
85,35820,27.19207349,53.53722363,100
85,35840,27.15526257,53.64577289,100
85,35860,27.13008354,53.49671973,100
85,35880,27.12381399,53.22384872,100
85,35900,27.11333416,52.46398133,100
85,35920,27.05764873,52.3121411,100
85,35940,27.01716453,51.54538127,100
85,35960,26.99691027,51.09141732,100
85,35980,26.95665121,51.22959122,100
85,36000,26.87721675,51.12337351,100
85,36020,26.89074662,50.8614508,100
85,36040,26.86492844,50.59883203,100
85,36060,26.86250827,50.48607006,100
85,36080,26.85503441,50.22922021,100
85,36100,26.87772213,50.40554879,100
85,36120,26.88876106,50.20042916,100
85,36140,26.95214217,50.04880562,100
85,36160,26.96148439,50.26150409,100
85,36180,27.4985692,52.14288168,100
85,36200,27.52399249,52.13486478,100
85,36220,27.53333867,53.39272609,100
85,36240,27.52616472,54.11203127,100
85,36260,27.53116679,53.93217559,100
85,36280,27.4978259,53.87879977,100
85,36300,27.47482431,53.89636563,100
85,36320,27.4681696,53.78870498,100
85,36340,27.44684384,53.09580754,100
85,36360,27.36133482,53.04304042,100
85,36380,27.31664139,52.63711589,100
85,36400,27.27360018,52.58266665,100
85,36420,27.23336082,52.47561278,100
85,36440,27.18100492,52.48515857,100
85,36460,27.12470324,52.31196081,100
85,36480,27.07973158,52.17771156,100
85,36500,27.02503094,52.29027274,100
85,36520,26.99605149,52.32247416,100
85,36540,26.94635318,51.91701758,100
85,36560,26.90515173,51.55197011,100
85,36580,26.79362837,52.20573086,100
85,36600,26.71569786,53.46567988,100
85,36620,26.72721617,54.16661325,100
85,36640,26.72635732,54.0027972,100
85,36660,26.70554517,54.37237377,100
85,36680,26.67279216,56.02001123,100
85,36700,26.72437646,56.49960183,100
85,36720,26.78487242,56.11909489,100
85,36740,26.80707201,56.73587893,100
85,36760,26.79618492,56.77715583,100
85,36780,26.82298537,56.76066949,100
85,36800,26.82178748,56.81307124,100
85,36820,26.81331359,56.32991379,100
85,36840,26.82177774,56.38839353,100
85,36860,26.82062461,56.68929336,100
